strategy,batch_size,measured_samples,measured_batches,total_measured_seconds,requests_per_second,input_tokens_per_second,output_tokens_per_second,total_tokens_per_second,batch_latency_p50_seconds,batch_latency_p95_seconds,gpu0_peak_memory_mib,gpu1_peak_memory_mib,gpu2_peak_memory_mib,gpu3_peak_memory_mib,mean_peak_memory_mib,max_peak_memory_mib,peak_memory_imbalance_mib,gpu_kv_cache_tokens,gpu_kv_cache_gib,mean_non_kv_peak_memory_mib,max_non_kv_peak_memory_mib,pre_measure_baseline_mean_mib,activation_workspace_delta_mean_mib,activation_workspace_delta_max_mib,rank0_model_loading_gib
multi_kernel,64,256,4,6.022512197494507,42.507178334400294,12512.718534858348,42.507178334400294,12555.225713192749,1.5296372175216675,1.6009625434875487,87275.0,86561.0,86179.0,86209.0,86556.0,87275.0,1096.0,2810064,64.32,20692.320000000007,21411.320000000007,86552.0,4.0,4.0,16.05
multi_kernel,128,512,4,9.580029249191284,53.44451323499053,15980.744527781466,53.44451323499053,16034.189041016456,2.3750609159469604,2.6876991391181946,88965.0,88251.0,87869.0,87899.0,88246.0,88965.0,1096.0,2765872,63.31,23416.559999999998,24135.559999999998,88244.0,2.0,2.0,16.4252
multi_kernel,256,1024,4,16.224426746368408,63.11471067717119,19001.22604140727,63.11471067717119,19064.34075208444,3.9618159532546997,4.499234139919281,91443.0,90729.0,90347.0,90377.0,90724.0,91443.0,1096.0,2677616,61.29,27963.04,28682.04,90720.0,4.0,4.0,17.1757
multi_kernel,512,2048,4,27.613072395324707,74.16776991273004,22113.185785996982,74.16776991273004,22187.353555909714,6.674243927001953,7.640915584564208,93379.0,92665.0,92283.0,92313.0,92660.0,93379.0,1096.0,2427184,55.55,35776.8,36495.8,92658.0,2.0,2.0,18.6751
cross_layer,8,32,4,1.0478649139404297,30.53828749706489,8843.697194853135,30.53828749706489,8874.235482350201,0.2676258087158203,0.27527103424072263,87161.0,87133.0,87233.0,87245.0,87193.0,87245.0,112.0,3196064,73.15,12287.399999999994,12339.399999999994,87189.0,4.0,4.0,8.2194
cross_layer,16,64,4,1.5813710689544678,40.471209608200276,12057.258649993042,40.471209608200276,12097.729859601242,0.37788259983062744,0.4407942771911621,87159.0,87131.0,87231.0,87243.0,87191.0,87243.0,112.0,3196064,73.15,12285.399999999994,12337.399999999994,87189.0,2.0,2.0,8.2194
cross_layer,32,128,4,2.7740724086761475,46.141549730161735,13448.098861198543,46.141549730161735,13494.240410928705,0.6994115114212036,0.710050916671753,87159.0,87131.0,87231.0,87243.0,87191.0,87243.0,112.0,3196064,73.15,12285.399999999994,12337.399999999994,87189.0,2.0,2.0,8.2194
cross_layer,64,256,4,5.059063196182251,50.60225383094378,14895.643141376022,50.60225383094378,14946.245395206965,1.2755370140075684,1.356675112247467,87521.0,87397.0,87625.0,87637.0,87545.0,87637.0,240.0,3149392,72.09,13724.839999999997,13816.839999999997,87541.0,4.0,4.0,8.4069
cross_layer,128,512,4,8.60759687423706,59.48233955198807,17786.148937599934,59.48233955198807,17845.631277151922,2.1647719144821167,2.3472443461418155,89051.0,88927.0,89155.0,89039.0,89043.0,89155.0,228.0,3116128,71.32,16011.320000000007,16123.320000000007,87846.0,1197.0,1197.0,8.782
cross_layer,256,1024,4,14.813508033752441,69.12609745556728,20811.005691398535,69.12609745556728,20880.131788854105,3.628896474838257,4.035417747497559,93053.0,92577.0,92549.0,92561.0,92685.0,93053.0,504.0,3049712,69.8,21209.800000000003,21577.800000000003,92681.0,4.0,4.0,9.5325
cross_layer,512,2048,4,26.57711410522461,77.05878041880393,22975.14310931012,77.05878041880393,23052.201889728924,6.511383295059204,7.113437688350677,94645.0,94649.0,94621.0,94633.0,94637.0,94649.0,28.0,2832864,64.84,28240.839999999997,28252.839999999997,94633.0,4.0,4.0,11.032
